1 爱/ài,HSK1,爱,ài,To Love,Wǒ ài wǒ de lǎogōng.,I love my husband.,我爱我的老公,v
2 不客⽓/bùkèqi,HSK1,不客⽓,bùkèqi,You're Welcome,"Dāng biéren shuō xièxie de shíhou, nǐ yào shuō bùkèqi.","You need to say ""you're welcome"" when others say ""thank you"".",当别⼈说谢谢的时候，你要说不客⽓,v
3 吃/chī,HSK1,吃,chī,To Eat,Nǐ xǐhuan chī shénme?,What do you like to eat?,你喜欢吃什么？,v
4 打电话/dǎ diànhuà,HSK1,打电话,dǎ diànhuà,To Make a Telphone Call,Wǒ zhèngzài dǎ diànhuà.,I am making a phone call.,我正在打电话,v
5 读/dú,HSK1,读,dú,To Read,Wǒ yào dú zhè běn shū.,I want to read this book.,我要读这本书,v
6 对不起/duìbuqǐ,HSK1,对不起,duìbuqǐ,Sorry,"Duìbuqǐ, wǒ lái wǎn le.",Sorry to be late.,对不起，我来晚了,v
7 ⼯作/gōngzuò,HSK1,⼯作,gōngzuò,To Work,Wǒ měitiān doū yào gōngzuò.,I need to work everyday.,我每天都要⼯作,v
8 喝/hē,HSK1,喝,hē,To Drink,Nǐ hē lǜchá ma?,Do you drink green tea?,你喝绿茶吗？,v
9 回/huí,HSK1,回,huí,To Come Back,Wǒ dìdi huílái le.,My brother has come back.,我弟弟回来了,v
10 会/huì,HSK1,会,huì,Can,Wǒ huì tán jítā.,I can play guitar.,我会弹吉他,v
11 叫/jiào,HSK1,叫,jiào,To Call,Qǐng jiào wǒ lǎoshī.,Please call me teacher.,请叫我老师,v
12 开/kāi,HSK1,开,kāi,To Open,Bùyào kāimén.,Don't open the door.,不要开门,v
13 看/kàn,HSK1,看,kàn,To Look At,Nǐ zài kàn shénme?,What are you looking at?,你在看什么？,v
14 看见/kànjiàn,HSK1,看见,kànjiàn,To See,Wǒ kànjian le yī gè nánrén.,I saw a man.,我看见了一个男⼈,v
15 来/lái,HSK1,来,lái,To Come,Nǐ huì lái zhōngguó ma?,Will you come to China?,你会来中国吗？,v
16 买/mǎi,HSK1,买,mǎi,To Buy,Wǒ juédìng mǎi yī liàng chē.,I decided to buy a car.,我决定买一辆车,v
17 没关系/méiguānxi,HSK1,没关系,méiguānxi,It Doesn't Matter,Nǐ xǐ bù xǐhuan wǒ doū méiguānxi.,It doesn't matter whether you like me or not.,你喜不喜欢我都没关系,v
18 能/néng,HSK1,能,néng,To Be Able To/Can,Nǐ néng gěi wǒ yī bēi shuǐ ma?,Can you give me a glass of water?,你能给我一杯⽔吗？,v
19 请/qǐng,HSK1,请,qǐng,Please,Qǐng gěi wǒ càidān.,Please give me the menu.,请给我菜单,v
20 去/qù,HSK1,去,qù,To Go,Wǒ xiǎng qù měiguó.,I want to go to America.,我想去美国,v
21 认识/rènshi,HSK1,认识,rènshi,To Know,Nǐmen rènshi wǒ ma?,Do you guys know me?,你们认识我吗？,v
22 是/shì,HSK1,是,shì,To Be,Wǒ shì gè nánrén.,I am a man.,我是个男⼈,v
23 睡觉/shuìjiào,HSK1,睡觉,shuìjiào,To Sleep,"Wǒ kùn le, xiǎng shuìjiào.","I am sleepy, I want to sleep.",我困了，想睡觉,v
24 说话/shuōhuà,HSK1,说话,shuōhuà,To Say/To Speak/To Talk,Wǒ bù ài shuōhuà.,I don't like talking.,我不爱说话,v
25 听/tīng,HSK1,听,tīng,To Listen,Wǒ zài tīng gē.,I'm listening to songs.,我在听歌,v
28 想/xiǎng,HSK1,想,xiǎng,To Think/To Miss,Wǒ huì xiǎng nǐ de.,I will miss you.,我会想你的,v
27 下雨/xiàyǔ,HSK1,下雨,xiàyǔ,To Rain,Xiànzài zài xiàyǔ.,It is raining now.,现在在下雨,v
29 写/xiě,HSK1,写,xiě,To Write,Wǒ xiě le yī běn shū.,I have written a book.,我写了一本书,v
30 谢谢/xièxie,HSK1,谢谢,xièxie,Thanks,Xièxie nǐ jiāo wǒ zhōngwén.,Thanks for teaching me Chinese.,谢谢你教我中⽂,v
26 喜欢/xǐhuan,HSK1,喜欢,xǐhuan,To Like,Nǐ xǐhuan wǒ ma?,Do you like me?,你喜欢我吗？,v
31 学习/xuéxí,HSK1,学习,xuéxí,To Study,Wǒ xiǎng xuéxí xībānyá yǔ.,I want to study Spanish.,我想学习西班⽛语,v
32 有/yǒu,HSK1,有,yǒu,To Have,Wǒ yǒu hěnduō qián.,I have a lot of money.,我有很多钱,v
33 再见/zàijiàn,HSK1,再见,zàijiàn,Good-bye/See You,Míngtiān zàijiàn.,See you tomorrow.,明天再见,v
34 住/zhù,HSK1,住,zhù,To Live,Nǐ zhù zài nǎli?,Where do you live?,你住在哪⾥？,v
35 做/zuò,HSK1,做,zuò,To Do,Wǒ bù zhīdao wǒ zài zuò shénme.,I don't know what I am doing.,我不知道我在做什么,v
36 坐/zuò,HSK1,坐,zuò,To Sit,Wǒ xiǎng zuò xiàlái.,I want to sit down.,我想坐下来,v
1 帮助/bāngzhù,HSK2,帮助,bāngzhù,To Help,Zhège yào huì bāngzhù nǐ.,This medicine will help you.,这个药会帮助你,v
2 唱歌/chànggē,HSK2,唱歌,chànggē,To Sing,Tā bù huì chànggē,She can't sing.,她不会唱歌.,v
3 出/chū,HSK2,出,chū,To Go Out,Wǒ xiànzài yào chūqù le.,I am going out now.,我现在要出去了,v
4 穿/chuān,HSK2,穿,chuān,To Wear,Wǒ xǐhuan chuān zhèzhǒng qúnzi.,I like to wear this kind of dress.,我喜欢穿这种裙⼦,v
5 到/dào,HSK2,到,dào,To Arrive,Tāmen yīnggāi shí diǎn qián huì dào.,They will probably arrive by ten o'clock.,他们应该⼗点前会到,v
6 等/děng,HSK2,等,děng,To Wait,Tā zài zhèr děng le hěnjiǔ.,He has been waiting here for a long time.,他在这⼉等了很久,v
7 告诉/gàosu,HSK2,告诉,gàosu,To Tell,Wǒ lái gàosu nǐ wǒ zuówǎn jiàndào le shénme.,Let me tell you what I saw last night.,我来告诉你我昨晚见到了什么,v
8 给/gěi,HSK2,给,gěi,To Give,Wǒ de jiějie gěi le wǒ yī běn shū.,My sister's gave me a book.,我的姐姐给了我一本书,v
9 欢迎/huānyíng,HSK2,欢迎,huānyíng,To Welcome,Huānyíng lái dào wǒmen de píndào xuéxí zhōngwén.,Welcome to our channel to learn Mandarin.,欢迎来到我们的频道学习中⽂,v
10 回答/huídá,HSK2,回答,huídá,To Anwser,Wǒ huídá bùliǎo zhège wèntí.,I can't answer this question.,我回答不了这个问题,v
11 介绍/jièshào,HSK2,介绍,jièshào,To Introduce,Wǒ xiǎng jièshào nǐ gěi wǒ fùmǔ rènshi.,I'd like to introduce you to my parents.,我想介绍你给我⽗母认识,v
12 进/jìn,HSK2,进,jìn,To Enter,Wǒ kànjian tā jìn le fángjiān.,I saw her entering the room.,我看见她进了房间,v
13 觉得/juéde,HSK2,觉得,juéde,To Think,Wǒ juéde tā tài bàng le.,I thought she was fantastic.,我觉得她太棒了,v
14 开始/kāishǐ,HSK2,开始,kāishǐ,To Begin/To Start,Wǒ xiànzài yào kāishǐ shuōhuà le.,I will start talking now.,我现在要开始说话了,v
15 可能/kěnéng,HSK2,可能,kěnéng,To Be Possible,Ràng wǒ gěi nǐ qián shì bù kěnéng de.,It is not possible for me to give you money.,让我给你钱是不可能的,v
16 可以/kěyǐ,HSK2,可以,kěyǐ,Can,Wǒ kěyǐ tán jítā gěi nǐ tīng.,I can play guitar for you.,我可以弹吉他给你听,v
17 旅游/lǚyóu,HSK2,旅游,lǚyóu,To Travel,Shànggeyuè wǒmen qù lǚyóu le.,I went to travel last month.,上个⽉我们去旅游了,v
18 跑步/pǎobù,HSK2,跑步,pǎobù,To Run,Wǒ měitiān zǎoshang doū huì qù gōngyuán lǐ pǎobù.,I run in the park every morning.,我每天早上都会去公园⾥跑步,v
19 起床/qǐchuáng,HSK2,起床,qǐchuáng,To Get Up,Míngtiān wǒ yào zǎodiǎn qǐchuáng.,I need to get up early tomorrow.,明天我要早点起床,v
20 让/ràng,HSK2,让,ràng,To Let,Wǒ nánpéngyou bù ràng wǒ chī là de shíwù.,My boyfriend doesn't let me eat spicy food.,我男朋友不让我吃辣的⾷物,v
21 上班/shàngbān,HSK2,上班,shàngbān,To Go to Work,"Jīntiān wǒ gǎnmào le, suǒyǐ bùyòng qù shàngbān.","I don't need to go to work today, because I am having a cold.",今天我感冒了，所以不⽤去上班,v
22 ⽣病/shēngbìng,HSK2,⽣病,shēngbìng,To Get Sick,Tōngcháng wǒ huì zài dōngtiān de shíhou shēngbìng.,Usually I get sick in winter time.,通常我会在冬天的时候⽣病,v
23 送/sòng,HSK2,送,sòng,To Give (a present)/To Send,Nǐ kěyǐ sòng wǒ yī gè wáwa ma?,Can you give me a doll?,你可以送我一个娃娃吗？,v
24 踢⾜球/tī zúqiú,HSK2,踢⾜球,tī zúqiú,To Play Football,Wǒ cónglái bù cuòguò tī zúqiú de jīhuì.,I never miss a chance of playing football.,我从来不错过踢⾜球的机会,v
25 跳舞/tiàowǔ,HSK2,跳舞,tiàowǔ,To Dance,Wǒ xiànzài jiù xiǎngyào tiàowǔ.,I want to dance now.,我现在就想要跳舞,v
26 玩/wán,HSK2,玩,wán,To Play,Shuìjiào zhīqián wǒ xǐhuan wán shǒujī.,I like to play with my phone before bed.,睡觉之前我喜欢玩手机,v
27 完/wán,HSK2,完,wán,To Finish,Wǒ yǐjīng wánchéng zuòyè le.,I have finished my homework.,我已经完成作业了,v
28 问/wèn,HSK2,问,wèn,To Ask,"Rúguǒ nǐ bù dǒng zhège dāncí, kěyǐ suíshí wèn wǒ.","If you don't understand this word, you can ask me anytime.",如果你不懂这个单词，可以随时问我,v
30 洗/xǐ,HSK2,洗,xǐ,To Wash,Wǒ měitiān doū xǐ tóufa.,I wash my hair everyday.,我每天都洗头发,v
31 笑/xiào,HSK2,笑,xiào,To Smile,Wǒ bù xǐhuan xiào.,I don't like to smile.,我不喜欢笑,v
32 休息/xiūxi,HSK2,休息,xiūxi,To Rest,Wǒmen xiūxi yīhuǐr ba.,Let's rest for a while.,我们休息一会⼉吧,v
29 希望/xīwàng,HSK2,希望,xīwàng,To Hope,Zhēn xīwàng wǒ néng chéngwéi bǎi wàn fùwēng.,I hope I could be a millionaire.,真希望我能成为百万富翁,v
33 要/yào,HSK2,要,yào,To Want/Will,Děng yīxià wǒ yào qù chī miàn.,I will go to eat noodles later.,等一下我要去吃⾯,v
34 游泳/yóuyǒng,HSK2,游泳,yóuyǒng,To Swim,Wǒ xiǎng qù yóuyǒngchí lǐ yóuyǒng.,I want to go swimming in the swimming pool.,我想去游泳池⾥游泳,v
35 运动/yùndòng,HSK2,运动,yùndòng,To Work Out,Tā měitiān doū huì yùndòng yī xiǎoshí.,She works out for an hour everyday.,她每天都会运动一⼩时,v
36 找/zhǎo,HSK2,找,zhǎo,To Look For,Nàge nǚhái zhèngzài zhǎo tā de ěrhuán.,That girl is looking for her earrings.,那个⼥孩正在找她的⽿环,v
37 知道/zhīdào,HSK2,知道,zhīdào,To Know,Wǒ zhīdào nǐ zhù nǎr.,I know where you live.,我知道你住哪⼉.,v
38 准备/zhǔnbèi,HSK2,准备,zhǔnbèi,To Prepare,Wǒ xūyào zhǔnbèi jǐ gè bēizi.,How many cups do I need to prepare.,我需要准备⼏个杯⼦,v
39 ⾛/zǒu,HSK2,⾛,zǒu,To Walk/To Leave,"Nǐ zǒu le yǐhòu, wǒmen dōu hěn xiǎng nǐ.","After you left, we all missed you.",你⾛了以后，我们都很想你,v
1 搬/bān,HSK3,搬,bān,To Move,Guò jǐ tiān wǒ yào bān qù nóngcūn zhù.,I will move to the village in a few days.,过⼏天我要搬去农村住,v
2 帮忙/bāngmáng,HSK3,帮忙,bāngmáng,To Help,Wǒ xiǎng qǐng nǐ bāngmáng.,I'd like to ask you to help me.,我想请你帮忙,v
5 表⽰/biǎoshì,HSK3,表⽰,biǎoshì,To Express/To Show,"Tā dàizhe jiéhūn jièzhi, biǎoshì tā yǐ jiéhūn.",She wears a wedding ring to show that she's married.,她戴着结婚戒指，表⽰她已结婚,v
6 表演/biǎoyǎn,HSK3,表演,biǎoyǎn,To Perform,"Yǔ zài lùyīn péng lǐ lùyīn xiāng bǐ, tā gèng xǐhuan xiànchǎng biǎoyǎn.",She's much happier performing live than in a recording studio.,与在录⾳棚⾥录⾳相⽐，她更喜欢现场表演,v
3 ⽐较/bǐjiào,HSK3,⽐较,bǐjiào,To Compare,Bǎ nǐ de dá'àn hé lǎoshī de bǐjiào yīxià.,Compare your answers with the teacher's.,把你的答案和老师的⽐较一下,v
4 必须/bìxū,HSK3,必须,bìxū,Must,Nǐ bìxū zūnshǒu guīzé.,You have to follow the rules.,你必须遵守规则,v
7 参加/cānjiā,HSK3,参加,cānjiā,To Attend/To Take Part,Wǒmen jiāng cānjiā mǎlāsōng.,We will take part in the marathon.,我们将参加马拉松,v
8 迟到/chídào,HSK3,迟到,chídào,To Be Late,Qǐng yuánliàng wǒ chídào.,Please forgive me for being late.,请原谅我迟到,v
9 出现/chūxiàn,HSK3,出现,chūxiàn,To Appear/Show up,Wǒ bù zhīdào tā shénme shíhou huì chūxiàn.,I'm not sure when he will show up.,我不知道他什么时候会出现,v
11 带/dài,HSK3,带,dài,To Bring,Nǐ dài diànnǎo le ma?,Did you bring your computer?,你带电脑了吗？,v
12 担⼼/dānxīn,HSK3,担⼼,dānxīn,To Worry,Wǒ hěn dānxīn nǐ.,I worry about you.,我很担⼼你,v
10 打扫/dǎsǎo,HSK3,打扫,dǎsǎo,To Clean,Nǐ gāi dǎsǎo nǐ de fángjiān.,You should clean up your room.,你该打扫你的房间,v
13 懂/dǒng,HSK3,懂,dǒng,To Understand,Jīhū méiyǒu xuésheng néng dǒng tā suǒ shuō de huà.,Few students could understand what he said.,⼏乎没有学⽣能懂他所说的话,v
14 锻炼/duànliàn,HSK3,锻炼,duànliàn,To Work Out,Zhǐyǒu shǎo chī duō duànliàn cáinéng yōngyǒu jiànkāng de shēntǐ.,"Only when you eat less and exercise more, can you have a healthy body.",只有少吃多锻炼才能拥有健康的⾝体,v
15 饿/è,HSK3,饿,è,To Be Hungry,Tā bù è.,He isn't hungry.,他不饿,v
17 放/fàng,HSK3,放,fàng,To Put,Bǎ shū fàng zài nàli.,Put the book there.,把书放在那⾥,v
18 放⼼/fàngxīn,HSK3,放⼼,fàngxīn,To Relax,Fàngxīn ba! Wǒ huì zhàogu wǒ zìjǐ de.,Relax! I can take care of myself.,放⼼吧！我会照顾我⾃⼰的,v
16 发现/fāxiàn,HSK3,发现,fāxiàn,To Discover/To Find,Bùyào gěi jǐngchá fāxiàn nǐ shēnshang yǒu qiāng.,Don't let the cops find a gun on you.,不要给警察发现你⾝上有枪,v
19 分/fēn,HSK3,分,fēn,To Divide,Qǐng bǎ pīsà fēn chéng sān fèn.,Please divide the pizza into three parts.,请把披萨分成三份,v
20 复习/fùxí,HSK3,复习,fùxí,To Review,Wǒmen bǎ shēngcí zài fùxí yī biàn ba.,To Divide,我们把⽣词再复习一遍吧,v
21 敢/gǎn,HSK3,敢,gǎn,To Dare,Wǒ bù gǎn kàn kǒngbù diànyǐng.,I don't dare watch scary movies.,我不敢看恐怖电影,v
22 跟/gēn,HSK3,跟,gēn,To Follow,Nǐ bié gēn zhe wǒ!,Don't follow me！,你别跟着我！,v
23 刮风/guāfēng,HSK3,刮风,guāfēng,To Blow,"Yǒu tiān yèli wǒ xǐng le, tīngjiàn zài guāfēng.",Once I woke up at night and heard the wind blowing.,有天夜⾥我醒了，听见在刮风,v
24 关/guān,HSK3,关,guān,To Shut / To Close,Bié wàngjì guān chuānghu.,Don't forget to close the windows.,别忘记关窗户,v
25 关⼼/guānxīn,HSK3,关⼼,guānxīn,To Concern,Tā fēicháng guānxīn tā érzi de jiānglái.,He is very much concerned about the future of his son.,他⾮常关⼼他⼉⼦的将来,v
26 害怕/hàipà,HSK3,害怕,hàipà,To Be Scared,Tā shífēn hàipà tā.,She was very scared of him.,她⼗分害怕他,v
27 换/huàn,HSK3,换,huàn,To Change,Néng gěi wǒ huàn gè fángjiān ma?,Can you change the room for me?,能给我换个房间吗？,v
29 检查/jiǎnchá,HSK3,检查,jiǎnchá,To Examine,Wǒmen ānpái le zuì hǎo de yīshēng gěi tā jiǎnchá.,We arranged for her to be examined by the best doctor.,我们安排了最好的医⽣给他检查,v
31 讲/jiǎng,HSK3,讲,jiǎng,To Speak,Tā yāoqiú wǒ jiǎng màn yīdiǎn.,He asked me to speak more slowly.,他要求我讲慢一点,v
30 见⾯/jiànmiàn,HSK3,见⾯,jiànmiàn,To Meet,Wǒ bā diǎn huì gēn nǐ jiànmiàn.,I'll meet you at eight.,我⼋点会跟你见⾯,v
32 教/jiāo,HSK3,教,jiāo,To Teach,Wǒ de péngyou zài jiāo wǒ xiězuò.,My friend is teaching me how to write.,我的朋友在教我写作,v
28 记得/jìde,HSK3,记得,jìde,To Remember,Wǒ jìde wǒ jiànguò tā.,I remember seeing him.,我记得我见过他,v
37 借/jiè,HSK3,借,jiè,To Borrow,Wǒ néng jiè nǐ de chē ma?,Can I borrow your car?,我能借你的车吗？,v
33 接/jiē,HSK3,接,jiē,To Connect/To Catch,"Tā méiyǒu jiē zhù qiú, bǐsài shū le.",He missed catching the ball and the match was lost.,他没有接住球，⽐赛输了,v
34 结婚/jiéhūn,HSK3,结婚,jiéhūn,To Marry,Tā juédìng hé tā jiéhūn.,She decided to marry him.,她决定和他结婚,v
36 解决/jiějué,HSK3,解决,jiějué,To Solve,Méiyǒu rén nénggòu jiějué zhège wèntí.,Nobody can solve this problem.,没有⼈能够解决这个问题,v
35 结束/jiéshù,HSK3,结束,jiéshù,To Finish/To End,Tāmen juédìng jiéshù bǐcǐ de guānxi.,They decided to end their relationship.,他们决定结束彼此的关系,v
38 经过/jīngguò,HSK3,经过,jīngguò,To Pass,Wǒ měi cì huí jiā dōu huì jīngguò yī tiáo hé.,"Every time I go home, I pass by a river.",我每次回家都会经过一条河,v
40 决定/juédìng,HSK3,决定,juédìng,To Decide,Wǒ yǐjīng juédìng le yào mǎi yī bù xīn shǒujī.,I have decided to buy a new cellphone.,我已经决定了要买一部新手机,v
39 举⾏/jǔxíng,HSK3,举⾏,jǔxíng,To Hold,Hūnlǐ zài nǎr jǔxíng?,Where will the wedding be held at?,婚礼在哪⼉举⾏？,v
41 刻/kè,HSK3,刻,kè,To Carve,Wǒ zài zhuō shàng kè le yī gè xīn.,I carved a heart on the table.,我在桌上刻了一个⼼,v
42 哭/kū,HSK3,哭,kū,To Cry,Qǐng nǐ bùyào kū la.,Please stop crying.,请你不要哭啦,v
44 练习/liànxí,HSK3,练习,liànxí,To Practice,Wǒ dà bùfen shíjiān dōu zài liànxí tīnglì.,I spend most of my time practicing my listening skills.,我⼤部分时间都在练习听⼒,v
45 了解/liǎojiě,HSK3,了解,liǎojiě,To Know/To Understand,Wǒ duì tā yīdiǎn dōu bù liǎojiě.,I don't understand her at all.,我对她一点都不了解,v
43 离开/líkāi,HSK3,离开,líkāi,To Leave,Wǒ xiǎng jǐnkuài líkāi zhège chéngshì.,I want to leave this city as soon as possible.,我想尽快离开这个城市,v
46 卖/mài,HSK3,卖,mài,To Sell,"Tā mài le zìxíngchē, kǎo le jiàzhào, bìng mǎi le liàng qìchē.","She sold her bike, took a driving test and bought a car.",她卖了⾃⾏车，考了驾照，并买了辆汽车,v
47 难过/nánguò,HSK3,难过,nánguò,To Be Sad,Wǒ wúfǎ quèdìng wǒ shì gāoxìng háishi nánguò.,I can't decide if I'm happy or sad.,我⽆法确定我是⾼兴还是难过,v
48 努⼒/nǔlì,HSK3,努⼒,nǔlì,To Put Effort In/To Try Hard,Tā xuéxí fēicháng nǔlì.,He studies very hard.,他学习⾮常努⼒,v
49 爬上/páshàng,HSK3,爬上,páshàng,To Climb Up,Nàge xiǎohái pá shàng le yī kē dà shù.,That kid climbed up a big tree.,那个⼩孩爬上了一棵⼤树,v
50 骑/qí,HSK3,骑,qí,To Ride,"Tā tài xiǎo le, bùnéng qí jiǎotàchē.",She is too little to ride a bicycle.,她太⼩了，不能骑脚踏车,v
55 认为/rènwéi,HSK3,认为,rènwéi,To Think,Wǒ rènwéi nǐ shuō de duì.,I think you are right.,我认为你说得对,v
51 上⽹/shàngwǎng,HSK3,上⽹,shàngwǎng,To Get Online,Nà liǎng gè rén yīnwèi guòyú shàngwǎng ér hūshì le tāmen de háizi.,That couple neglected their child because they spend too much time on the,那两个⼈因为过于上⽹⽽忽视了他们的孩⼦,v
52 ⽣⽓/shēngqì,HSK3,⽣⽓,shēngqì,To Be Angry,"Wǒ hěn shēngqì, yīnwèi wǒ diào le qián.","I am very angry, because I lost my money.",我很⽣⽓，因为我掉了钱,v
53 使/shǐ,HSK3,使,shǐ,To Make,Tā mǔqīn shēngbìng de xiāoxi shǐ tā gǎndào bù'ān.,She was disturbed by the news of her mother's illness.,她母亲⽣病的消息使她感到不安,v
54 刷⽛/shuāyá,HSK3,刷⽛,shuāyá,To Brush Teeth,Shàngchuáng shuìjiào qián yào shuāyá.,Brush your teeth before going to bed.,上床睡觉前要刷⽛,v
56 提⾼/tígāo,HSK3,提⾼,tígāo,To Improve,Wǒmen bìxū jǐnkuài de tígāo gōngzuò xiàolǜ.,We must improve our efficiency as soon as possible.,我们必须尽快地提⾼⼯作效率,v
57 完成/wánchéng,HSK3,完成,wánchéng,To Finish/To Complete,Wánchéng zhège gōngchéng huāfèi le tāmen shí yì duō měiyuán.,It took them more than one billion dollars to complete the project.,完成这个⼯程花费了他们⼗亿多美元,v
58 忘记/wàngjì,HSK3,忘记,wàngjì,To Forget,Wǒ yǒngyuǎn bù huì wàngjì nǐ.,I'll never forget you.,我永远不会忘记你,v
60 相信/xiāngxìn,HSK3,相信,xiāngxìn,To Believe,Wǒ xiāngxìn nǐ huì chénggōng de.,I believe that you will be successful.,我相信你会成功的,v
59 洗澡/xǐzǎo,HSK3,洗澡,xǐzǎo,To Take a Shower,Hǎo rè a! Wǒ xiǎng xǐzǎo.,It's so hot! I want to take a shower.,好热啊！我想洗澡,v
62 选择/xuǎnzé,HSK3,选择,xuǎnzé,To Choose,"Hóngsè hé lán sè, nǐ xuǎnzé nǎ yī gè?","Which one do you choose, red or blue?",红⾊和蓝⾊，你选择哪一个？,v
61 需要/xūyào,HSK3,需要,xūyào,To Need,Wǒ xūyào qián hé shíjiān lái wánchéng zhège xiàngmù.,I need money and time to complete this project.,我需要钱和时间来完成这个项⽬,v
63 要求/yāoqiú,HSK3,要求,yāoqiú,To Require/To Ask,Tā yāoqiú wǒ gěi tā mǎi yī méi jièzhi.,She asked me to buy her a ring.,她要求我给她买一枚戒指,v
64 以为/yǐwéi,HSK3,以为,yǐwéi,To Think (Wrongly),Wǒ yǐwéi wǒ shì duì de.,I thought I was right.,我以为我是对的,v
65 ⽤/yòng,HSK3,⽤,yòng,To Use,Tā yòng qiānbǐ zuò le jìhao.,He made marks with a pencil.,他⽤铅笔做了记号,v
66 遇到/yùdào,HSK3,遇到,yùdào,To Meet/To Run Into,Tā zài sēnlín lǐ yùdào le yī zhī lǎohǔ.,She ran into a tiger in the forest.,她在森林⾥遇到了一只老虎,v
67 越/yuè,HSK3,越,yuè,To Get Over,Bùyào yuè lán.,Do not climb over the fence.,不要越栏,v
68 站/zhàn,HSK3,站,zhàn,To Stand,Tā hūrán zhàn le qǐlái.,He suddenly stood up.,他忽然站了起来,v
69 长/zhǎng,HSK3,长,zhǎng,To Grow,"Qùnián chūntiān yǔshuǐ tài duō, shūcài zhǎng de bù hǎo.",There was so much rain last spring that the vegetables did not grow well.,去年春天雨⽔太多，蔬菜长得不好,v
71 照顾/zhàogu,HSK3,照顾,zhàogu,To Look After,Wǒ xūyào nǐ zhàogu háizi.,I need you to look after the child.,我需要你照顾孩⼦,v
70 着急/zháojí,HSK3,着急,zháojí,To Worry,"Nǐ bié zháojí, yīshēng mǎshàng jiù lái le.","Don't worry, the doctor is coming soon.",你别着急，医⽣马上就来了,v
72 祝/zhù,HSK3,祝,zhù,To Wish,Zhù nǐ hǎo yùn!,Wish you luck!,祝你好运！,v
55 画/huà,HSK3,画,huà,Painting/Picture,Qiáng shàng yǒu yī fú huà.,There is a picture on the wall.,墙上有一幅画,n
2 爱好/àihào,HSK3,爱好,àihào,Hobby,Wǒ de àihào shì chànggē.,My hobby is singing.,我的爱好是唱歌,n
1 阿姨/āyí,HSK3,阿姨,āyí,Maid/Auntie,Wǒ de āyí gěi le wǒ yī tái shèyǐngjī.,My aunt gave me a camera.,我的阿姨给了我一台摄影机,n
