03-14-2021,07:00,CAD,Daylight Saving Time Shift,Holiday,,,
03-14-2021,07:00,USD,Daylight Saving Time Shift,Holiday,,,
03-14-2021,21:49,NZD,Visitor Arrivals m/m,Low,,,15.4%
03-14-2021,23:15,AUD,RBA Gov Lowe Speaks,High,,,
03-14-2021,23:50,JPY,Core Machinery Orders m/m,Low,-5.5%,-5.5%,5.2%
03-15-2021,00:01,GBP,Rightmove HPI m/m,Low,,,0.5%
03-15-2021,02:00,CNY,Fixed Asset Investment ytd/y,Low,40.9%,40.9%,2.9%
03-15-2021,02:00,CNY,Industrial Production y/y,Medium,31.2%,31.2%,7.3%
03-15-2021,02:00,CNY,Retail Sales y/y,Medium,32.0%,32.0%,4.6%
03-15-2021,02:00,CNY,Unemployment Rate,Low,5.2%,5.2%,5.2%
03-15-2021,04:30,JPY,Tertiary Industry Activity m/m,Low,-0.6%,-0.6%,-0.4%
03-15-2021,07:00,EUR,German WPI m/m,Low,0.7%,0.7%,2.1%
03-15-2021,10:15,EUR,Eurogroup Meetings,Low,,,
03-15-2021,12:15,CAD,Housing Starts,Low,245K,245K,282K
03-15-2021,12:30,CAD,Manufacturing Sales m/m,Low,2.8%,2.8%,0.9%
03-15-2021,12:30,USD,Empire State Manufacturing Index,Low,14.6,14.6,12.1
03-15-2021,13:30,GBP,CB Leading Index m/m,Low,,,-0.5%
03-15-2021,20:00,USD,TIC Long-Term Purchases,Low,107.3B,107.3B,121.0B
03-15-2021,20:03,NZD,Westpac Consumer Sentiment,Low,,,106.0
03-16-2021,00:30,AUD,Monetary Policy Meeting Minutes,Low,,,
03-16-2021,00:30,AUD,HPI q/q,Low,1.9%,1.9%,0.8%
03-16-2021,02:00,NZD,Credit Card Spending y/y,Low,,,-5.6%
03-16-2021,04:30,JPY,Revised Industrial Production m/m,Low,4.2%,4.2%,4.2%
03-16-2021,07:00,JPY,BOJ Gov Kuroda Speaks,Medium,,,
03-16-2021,07:45,EUR,French Final CPI m/m,Low,-0.1%,-0.1%,-0.1%
03-16-2021,10:00,EUR,ZEW Economic Sentiment,Low,72.0,72.0,69.6
03-16-2021,10:00,EUR,German ZEW Economic Sentiment,Low,74.0,74.0,71.2
03-16-2021,10:15,EUR,ECOFIN Meetings,Low,,,
03-16-2021,12:30,USD,Retail Sales m/m,High,-0.5%,-0.5%,5.3%
03-16-2021,12:30,USD,Core Retail Sales m/m,High,0.2%,0.2%,5.9%
03-16-2021,12:30,CAD,Foreign Securities Purchases,Low,,,5.08B
03-16-2021,12:30,USD,Import Prices m/m,Low,1.1%,1.1%,1.4%
03-16-2021,13:15,USD,Industrial Production m/m,Low,0.4%,0.4%,0.9%
03-16-2021,13:15,USD,Capacity Utilization Rate,Low,75.4%,75.4%,75.6%
03-16-2021,14:00,USD,NAHB Housing Market Index,Low,84,84,84
03-16-2021,14:00,USD,Business Inventories m/m,Low,0.3%,0.3%,0.6%
03-16-2021,14:33,NZD,GDT Price Index,Low,,,15.0%
03-16-2021,21:45,NZD,Current Account,Low,-2.85B,-2.85B,-3.52B
03-16-2021,23:30,AUD,MI Leading Index m/m,Low,,,0.3%
03-16-2021,23:30,AUD,RBA Assist Gov Kent Speaks,Medium,,,
03-16-2021,23:50,JPY,Trade Balance,Low,-0.20T,-0.20T,0.39T
03-17-2021,08:30,EUR,Dutch Parliamentary Election,Medium,,,
03-17-2021,10:00,EUR,Final Core CPI y/y,Low,1.1%,1.1%,1.1%
03-17-2021,10:00,EUR,Final CPI y/y,Low,0.9%,0.9%,0.9%
03-17-2021,10:34,EUR,German 30-y Bond Auction,Low,,,0.10|1.3
03-17-2021,12:30,CAD,CPI m/m,High,0.7%,0.7%,0.6%
03-17-2021,12:30,CAD,Core CPI m/m,Low,,,0.5%
03-17-2021,12:30,CAD,Common CPI y/y,Low,1.4%,1.4%,1.3%
03-17-2021,12:30,CAD,Median CPI y/y,Low,2.0%,2.0%,1.4%
03-17-2021,12:30,CAD,Trimmed CPI y/y,Low,2.0%,2.0%,1.8%
03-17-2021,12:30,USD,Building Permits,Low,1.72M,1.72M,1.88M
03-17-2021,12:30,USD,Housing Starts,Low,1.56M,1.56M,1.58M
03-17-2021,14:30,USD,Crude Oil Inventories,Medium,,,13.8M
03-17-2021,18:00,USD,FOMC Statement,High,,,
03-17-2021,18:00,USD,Federal Funds Rate,Medium,&lt;0.25%,&lt;0.25%,&lt;0.25%
03-17-2021,18:00,USD,FOMC Economic Projections,High,,,
03-17-2021,18:30,USD,FOMC Press Conference,High,,,
03-17-2021,21:45,NZD,GDP q/q,High,0.1%,0.1%,14.0%
03-18-2021,00:30,AUD,RBA Bulletin,Low,,,
03-18-2021,00:30,AUD,Employment Change,High,31.5K,31.5K,29.1K
03-18-2021,00:30,AUD,Unemployment Rate,High,6.3%,6.3%,6.4%
03-18-2021,01:05,AUD,RBA Assist Gov Kent Speaks,Medium,,,
03-18-2021,07:00,CHF,Trade Balance,Low,4.10B,4.10B,5.05B
03-18-2021,07:30,CHF,PPI m/m,Low,,,0.3%
03-18-2021,09:00,EUR,Italian Trade Balance,Low,,,6.84B
03-18-2021,10:00,EUR,Trade Balance,Low,28.3B,28.3B,27.5B
03-18-2021,11:00,GBP,MPC Member Cunliffe Speaks,Low,,,
03-18-2021,12:00,GBP,Asset Purchase Facility,Low,895B,895B,895B
03-18-2021,12:00,GBP,Official Bank Rate,High,0.10%,0.10%,0.10%
03-18-2021,12:00,GBP,Monetary Policy Summary,High,,,
03-18-2021,12:00,GBP,MPC Asset Purchase Facility Votes,Medium,0-0-9,0-0-9,0-0-9
03-18-2021,12:00,GBP,MPC Official Bank Rate Votes,High,0-0-9,0-0-9,0-0-9
03-18-2021,12:30,USD,Unemployment Claims,Low,700K,700K,712K
03-18-2021,12:30,CAD,ADP Non-Farm Employment Change,Medium,,,-231.2K
03-18-2021,12:30,CAD,NHPI m/m,Low,0.5%,0.5%,0.7%
03-18-2021,12:30,USD,Philly Fed Manufacturing Index,Medium,23.9,23.9,23.1
03-18-2021,14:00,USD,CB Leading Index m/m,Low,0.3%,0.3%,0.5%
03-18-2021,14:30,USD,Natural Gas Storage,Low,,,-52B
03-18-2021,23:30,JPY,National Core CPI y/y,Low,-0.4%,-0.4%,-0.6%
03-19-2021,00:01,GBP,GfK Consumer Confidence,Low,-20,-20,-23
03-19-2021,00:30,AUD,Retail Sales m/m,Low,0.6%,0.6%,0.5%
03-19-2021,03:50,JPY,BOJ Policy Rate,Low,-0.10%,-0.10%,-0.10%
03-19-2021,03:50,JPY,Monetary Policy Statement,Medium,,,
03-19-2021,06:30,JPY,BOJ Press Conference,Medium,,,
03-19-2021,07:00,GBP,Public Sector Net Borrowing,Low,20.0B,20.0B,8.0B
03-19-2021,07:00,EUR,German PPI m/m,Low,0.8%,0.8%,1.4%
03-19-2021,12:30,CAD,Retail Sales m/m,Medium,-3.0%,-3.0%,-3.4%
03-19-2021,12:30,CAD,Core Retail Sales m/m,Medium,-2.8%,-2.8%,-4.1%
