OBJECT,SIGNAL,DESC,SOUND
PIVOT_RESISTANCE,DISTANCE,Distance between the Price and the Pivot Resistance  Line Value,
PIVOT_RESISTANCE,MIDDLE,Price is in the middle of Pivot Resistance 2 and Resistance 1,
PIVOT_HIGH,ABOVE,Price is above the Pivot High Line,
PIVOT_HIGH,BELOW,Price is below the Pivot High Line,
PIVOT_HIGH,UP,Pivot High Line Value is higher than the previous one,
PIVOT_HIGH,DOWN,Pivot High Line Value is lower than the previous one,
PIVOT_HIGH,TOUCHED,Price touches the Pivot High Line,
PIVOT_HIGH,SIDEWAY,Pivot High Line Value is the same than the previous one,
PIVOT_HIGH,REVERSE_DOWN,Price Crossed the Pivot  High Line Up and now is Below,
PIVOT_HIGH,REVERSE_UP,Price Crossed the Pivot High Line Down and now is Above,
PIVOT_HIGH,CROSS_UP,Open price of the bar is under the Pivot High Line while the high is Above,
PIVOT_HIGH,CROSS_DOWN,Open price of the bar is above the Pivot High Line while the low is Below,
PIVOT_HIGH,ALERT,Price is approaching the Pivot High Line,
PIVOT_HIGH,PREVIOUS,Previious Pivot High Line Value,
PIVOT_HIGH,CURRENT,Current Pivot High Line Value,
PIVOT_HIGH,CHANGED,Pivot High changed,
PIVOT_HIGH,DISTANCE,Distance between the Price and the Pivot High Line Value,
PIVOT_HIGH,MIDDLE,Price is in the middle of Pivot High and the Pivot Line,
PIVOT_POINT,ABOVE,Price is above Pivot Line,
PIVOT_POINT,BELOW,Price is below Pivot Line,
PIVOT_POINT,UP,Pivot Line is higher than the previous Pivot Line,
PIVOT_POINT,DOWN,Pivot Line is lower than the previous Pivot Line,
PIVOT_POINT,TOUCHED,Price touches the Pivot Line,
PIVOT_POINT,SIDEWAY,Privot Line is the same than the previous Pivot Line,
PIVOT_POINT,REVERSE_DOWN,Price Crossed the Pivot Line Up and now is Below,
PIVOT_POINT,REVERSE_UP,Price Crossed the Pivot Line Down and now is Above,
PIVOT_POINT,CROSS_UP,Open price of the bar is under the Pivot Line while the high is Above,
PIVOT_POINT,CROSS_DOWN,Open price of the bar is above the Pivot Line while the low is Below,
PIVOT_POINT,ALERT,Price is approaching the Pivot Line ,
PIVOT_POINT,PREVIOUS,Previous Pivot  Line Value,
PIVOT_POINT,CURRENT,Current Pivot Line Value,
PIVOT_POINT,CHANGED,Pivot Line changed,
PIVOT_POINT,DISTANCE,Distance between the Price and the Pivot  Line Value,
PIVOT_LOW,ABOVE,Price is above the Pivot Low Line,
PIVOT_LOW,BELOW,Price is below the Pivot Low Line,
PIVOT_LOW,UP,Pivot Low Line Value is higher than the previous one,
PIVOT_LOW,DOWN,Pivot Low Line Value is lower than the previous one,
PIVOT_LOW,TOUCHED,Price touches the Pivot Low Line,
PIVOT_LOW,SIDEWAY,Pivot Low Line Value is the same than the previous one,
PIVOT_LOW,REVERSE_DOWN,Price Crossed the Pivot  Low Line Up and now is Below,
PIVOT_LOW,REVERSE_UP,Price Crossed the Pivot Low Line Down and now is Above,
PIVOT_LOW,CROSS_UP,Open price of the bar is under the Pivot Low Line while the high is Above,
PIVOT_LOW,CROSS_DOWN,Open price of the bar is above the Pivot Low Line while the low is Below,
PIVOT_LOW,ALERT,Price is approaching the Pivot Low Line,
PIVOT_LOW,PREVIOUS,Previous Pivot Low Line Value,
PIVOT_LOW,CURRENT,Current Pivot Low Line Value,
PIVOT_LOW,CHANGED,Pivot Low Changed,
PIVOT_LOW,DISTANCE,Distance between the Price and the Pivot Low Line Value,
PIVOT_LOW,MIDDLE,Price is in the middle of Pivot Low and Pivot Line,
PIVOT_SUPPORT,ABOVE,Price is above the Pivot Support  Line,
PIVOT_SUPPORT,BELOW,Price is below the Pivot Support  Line,
PIVOT_SUPPORT,UP,Pivot Support  Line Value is higher than the previous one,
PIVOT_SUPPORT,DOWN,Pivot Support  Line Value is lower than the previous one,
PIVOT_SUPPORT,TOUCHED,Price touches the Pivot Support  Line,
PIVOT_SUPPORT,SIDEWAY,Pivot Support  Line Value is the same than the previous one,
PIVOT_SUPPORT,REVERSE_DOWN,Price Crossed the Pivot  Support  Line Up and now is Below,
PIVOT_SUPPORT,REVERSE_UP,Price Crossed the Pivot Support  Line Down and now is Above,
PIVOT_SUPPORT,CROSS_UP,Open price of the bar is under the Pivot Support  Line while the high is Above,
PIVOT_SUPPORT,CROSS_DOWN,Open price of the bar is above the Pivot Support  Line while the low is Below,
PIVOT_SUPPORT,ALERT,Price is approaching the Pivot Support  Line,
PIVOT_SUPPORT,PREVIOUS,Previious Pivot Support  Line Value,
PIVOT_SUPPORT,CURRENT,Current Pivot Support  Line Value,
PIVOT_SUPPORT,CHANGED,Pivot Support changed,
PIVOT_SUPPORT,DISTANCE,Distance between the Price and the Pivot Support Line Value,
PIVOT_SUPPORT,MIDDLE,Price is in the middle of Pivot Support  and Pivot Line,
PIVOT_SUPPORT1,ABOVE,Price is above the Pivot Support 1 Line,
PIVOT_SUPPORT1,BELOW,Price is below the Pivot Support 1 Line,
PIVOT_SUPPORT1,UP,Pivot Support 1 Line Value is higher than the previous one,
PIVOT_SUPPORT1,DOWN,Pivot Support 1 Line Value is lower than the previous one,
PIVOT_SUPPORT1,TOUCHED,Price touches the Pivot Support 1 Line,
PIVOT_SUPPORT1,SIDEWAY,Pivot Support 1 Line Value is the same than the previous one,
PIVOT_SUPPORT1,REVERSE_DOWN,Price Crossed the Pivot  Support 1 Line Up and now is Below,
PIVOT_SUPPORT1,REVERSE_UP,Price Crossed the Pivot Support 1 Line Down and now is Above,
PIVOT_SUPPORT1,CROSS_UP,Open price of the bar is under the Pivot Support 1 Line while the high is Above,
PIVOT_SUPPORT1,CROSS_DOWN,Open price of the bar is above the Pivot Support 1 Line while the low is Below,
PIVOT_SUPPORT1,ALERT,Price is approaching the Pivot Support 1 Line,
PIVOT_SUPPORT1,PREVIOUS,Previious Pivot Support 1 Line Value,
PIVOT_SUPPORT1,CURRENT,Current Pivot Support 1 Line Value,
PIVOT_SUPPORT1,CHANGED,Pivot Support 1 changed,
PIVOT_SUPPORT1,DISTANCE,Distance between the Price and the Pivot Support 1 Line Value,
PIVOT_SUPPORT1,MIDDLE,Price is in the middle of Pivot Support 1 and Pivot Support ,
PIVOT_SUPPORT2,ABOVE,Price is above the Pivot Support 2 Line,
PIVOT_SUPPORT2,BELOW,Price is below the Pivot Support 2 Line,
PIVOT_SUPPORT2,UP,Pivot Support 2 Line Value is higher than the previous one,
PIVOT_SUPPORT2,DOWN,Pivot Support 2 Line Value is lower than the previous one,
PIVOT_SUPPORT2,TOUCHED,Price touches the Pivot Support 2 Line,
PIVOT_SUPPORT2,SIDEWAY,Pivot Support 2 Line Value is the same than the previous one,
PIVOT_SUPPORT2,REVERSE_DOWN,Price Crossed the Pivot  Support 2 Line Up and now is Below,
PIVOT_SUPPORT2,REVERSE_UP,Price Crossed the Pivot Support 2 Line Down and now is Above,
PIVOT_SUPPORT2,CROSS_UP,Open price of the bar is under the Pivot Support 2 Line while the high is Above,
PIVOT_SUPPORT2,CROSS_DOWN,Open price of the bar is above the Pivot Support 2 Line while the low is Below,
PIVOT_SUPPORT2,ALERT,Price is approaching the Pivot Support 2 Line,
PIVOT_SUPPORT2,PREVIOUS,Previious Pivot Support 2 Line Value,
PIVOT_SUPPORT2,CURRENT,Current Pivot Support 2 Line Value,
PIVOT_SUPPORT2,CHANGED,Pivot Support2 changed,
PIVOT_SUPPORT2,DISTANCE,Distance between the Price and the Pivot Support 2 Line Value,
PIVOT_SUPPORT2,MIDDLE,Price is in the middle of Pivot Support 2 and Pivot Suppport 1,
VOLUME,UP,Volume is bigger than the previous Bar,
VOLUME,DOWN,Volume is lesser than the  previous Bar,
VOLUME,SIDEWAY,Volume has the same value than the previous bar,
VOLUME,PREVIOUS,Volume of the previous bar,
VOLUME,CURRENT,Volume Number of the current bar,
VOLUME,VERYWEAK,Volume is lesser than the Lower level value 2,
VOLUME,WEAK,Volume is lesser than the Lower level value 1,
VOLUME,NEUTRAL,Volume is in Range between levels value Low Level 1 and High Level 1,
VOLUME,STRONG,Volume value is bigger than the Level Value 1,
VOLUME,VERYSTRONG,Volume value is bigger than the Level Value 2,
VOLUME_UP,UP,Volume on Up Ticks is bigger than the previous Bar,
VOLUME_UP,DOWN,Volume on Up Ticks is lesser than the  previous Bar,
VOLUME_UP,SIDEWAY,Volume on Up Ticks has the same value than the previous bar,
VOLUME_UP,PREVIOUS,Volume on Up Ticks of the previous bar,
VOLUME_UP,CURRENT,Volume on Up Ticks Number of the current bar,
VOLUME_UP,VERYWEAK,Volume on Up Ticks is lesser than the Lower level value 2,
VOLUME_UP,WEAK,Volume on Up Ticks is lesser than the Lower level value 1,
VOLUME_UP,NEUTRAL,Volume on Up Ticks is in Range between levels value Low Level 1 and High Level 1,
VOLUME_UP,STRONG,Volume on Up Ticks value is bigger than the Level Value 1,
VOLUME_UP,VERYSTRONG,Volume on Up Ticks value is bigger than the Level Value 2,
VOLUME_DOWN,UP,Volume on Down Ticks is bigger than the previous Bar,
VOLUME_DOWN,DOWN,Volume on Down Ticks is lesser than the  previous Bar,
VOLUME_DOWN,SIDEWAY,Volume on Down Ticks has the same value than the previous bar,
VOLUME_DOWN,PREVIOUS,Volume on Down Ticks of the previous bar,
VOLUME_DOWN,CURRENT,Volume on Down Ticks Number of the current bar,
VOLUME_DOWN,VERYWEAK,Volume on Down Ticks is lesser than the Lower level value 2,
VOLUME_DOWN,WEAK,Volume on Down Ticks is lesser than the Lower level value 1,
VOLUME_DOWN,NEUTRAL,Volume on Down Ticks is in Range between levels value Low Level 1 and High Level 1,
VOLUME_DOWN,STRONG,Volume on Down Ticks value is bigger than the Level Value 1,
VOLUME_DOWN,VERYSTRONG,Volume on Down Ticks value is bigger than the Level Value 2,
NEWS,ALERT,News of High Importance is approaching,
PROGRESS,BUY,Buy Signal,
PROGRESS,SELL,Sell Signal,
PROGRESS,EXIT_BUY,Exit Buy Signal,
PROGRESS,EXIT_SELL,Exit Sell Signal,
PROGRESS,CHANGED,Signal Changed,
PROGRESS,BULL,Bull Signal,
PROGRESS,BEAR,Bear Signal,
MA,ABOVE,Price is above Moving Average Line,
MA,BELOW,Price is below Moving Average Line,
MA,UP,Moving Average Trend Line is Up,
MA,DOWN,Moving Average Trend Line is Down,
MA,TOUCHED,Price Touches Moving Average Line,
MA,SIDEWAY,Moving Average Trend Line is Sideway,
MA,CROSS_UP,Price Crosses Up Moving Average Trend Line (Open of the Bar is below the Line and the High is above),
MA,CROSS_DOWN,Price Crosses Down Moving Average Trend Line (Open of the Bar is above the Line and the Low is below),
MA,ALERT,Price approaches the Moving Average Trend Line,
MA,ANGLE,Angle of the Moving Average Trend Line (degrees),
MA,PANGLE,Previous Angle of the Moving Average Trend Line (degrees),
MA,PREVIOUS,Previous Value of the Moving Average Trend Line,
MA,CURRENT,Current Value of the Moving Average Trend Line,
MA,CHANGED,Moving Average Trend Line changes from UP to DOWN or DOWN to UP,
MA,DISTANCE,Distance between the Price and the Moving Average Trend Line Value,
MA,RCROSSED,Moving Average Trend Line crosses the associated Object if any,
BOLLINGER,ABOVE,Price is above Bollinger Band Line,
BOLLINGER,BELOW,Price is below Bollinger Band Line,
BOLLINGER,UP,Bollinger Band Trend Line is Up,
BOLLINGER,DOWN,Bollinger Band Trend Line is Down,
BOLLINGER,TOUCHED,Price Touches Bollinger Band Line,
BOLLINGER,SIDEWAY,Bollinger Band Trend Line is Sideway,
BOLLINGER,CROSS_UP,Price Crosses Up Bollinger Band Trend Line (Open of the Bar is below the Line and the High is above),
BOLLINGER,CROSS_DOWN,Price Crosses Down Bollinger Band Trend Line (Open of the Bar is above the Line and the Low is below),
BOLLINGER,ALERT,Price approaches the Bollinger Band Trend Line,
BOLLINGER,ANGLE,Angle of the Bollinger Band Trend Line (degrees),
BOLLINGER,PANGLE,Previous Angle of the Bollinger Band Trend Line (degrees),
BOLLINGER,CURRENT,Previous Value of the Bollinger Band Trend Line,
BOLLINGER,PREVIOUS,Current Value of the Bollinger Band Trend Line,
BOLLINGER,CHANGED,Bollinger Band Trend Line changes from UP to DOWN or DOWN to UP,
BOLLINGER,DISTANCE,Distance between the Price and the Bollinger Band Trend Line Value,
BOLLINGER,RCROSSED,Bollinger Band Trend Line crosses the associated Object if any,
ADX,ABOVE,Price is above ADX Line,
ADX,BELOW,Price is below ADX Line,
ADX,UP,ADX Trend Line is Up,
ADX,DOWN,ADX Trend Line is Down,
ADX,TOUCHED,Price Touches ADX Line,
ADX,SIDEWAY,ADX Trend Line is Sideway,
ADX,CROSS_UP,Price Crosses Up ADX Trend Line (Open of the Bar is below the Line and the High is above),
ADX,CROSS_DOWN,Price Crosses Down ADX Trend Line (Open of the Bar is above the Line and the Low is below),
ADX,ALERT,,
ADX,ANGLE,Angle of the ADX Trend Line (degrees),
ADX,PANGLE,Previous Angle of the ADX Trend Line (degrees),
ADX,PREVIOUS,Previous Value of the ADX Trend Line,
ADX,CURRENT,Current Value of the ADX Trend Line,
ADX,CHANGED,ADX Trend Line changes from UP to DOWN or DOWN to UP,
ADX,DISTANCE,Distance between the Price and the ADX Trend Line Value,
CCI,ABOVE,Price is above CCI Line,
CCI,BELOW,Price is below CCI Line,
CCI,UP,CCI Trend Line is Up,
CCI,DOWN,CCI Trend Line is Down,
CCI,TOUCHED,Price Touches CCI Line,
CCI,SIDEWAY,CCI Trend Line is Sideway,
CCI,CROSS_UP,Price Crosses Up CCI Trend Line (Open of the Bar is below the Line and the High is above),
CCI,CROSS_DOWN,Price Crosses Down CCI Trend Line (Open of the Bar is above the Line and the Low is below),
CCI,ALERT,,
CCI,ANGLE,Angle of the CCI Trend Line (degrees),
CCI,PANGLE,Previous Angle of the CCI Trend Line (degrees),
CCI,PREVIOUS,Previous Value of the CCI Trend Line,
CCI,CURRENT,Current Value of the CCI Trend Line,
CCI,CHANGED,CCI Trend Line changes from UP to DOWN or DOWN to UP,
CCI,DISTANCE,Distance between the Price and the CCI Trend Line Value,
RSI,ABOVE,Price is above RSI Line,
RSI,BELOW,Price is below RSI Line,
RSI,UP,RSI Trend Line is Up,
RSI,DOWN,RSI Trend Line is Down,
RSI,TOUCHED,Price Touches RSI Line,
RSI,SIDEWAY,RSI Trend Line is Sideway,
RSI,CROSS_UP,Price Crosses Up RSI Trend Line (Open of the Bar is below the Line and the High is above),
RSI,CROSS_DOWN,Price Crosses Down RSI Trend Line (Open of the Bar is above the Line and the Low is below),
RSI,PREVIOUS,Previous Value of the RSI Trend Line,
RSI,CURRENT,Current Value of the RSI Trend Line,
RSI,CHANGED,RSI Trend Line changes from UP to DOWN or DOWN to UP,
RSI,EXT_OVERSOLD,Trend Line is in the Extreme OverSold Region,
RSI,VERYWEAK,Trend Line is in the Extreme OverSold Region,
RSI,EXT_OVERBOUGHT,Trend Line is in the Extreme OverBought Region,
RSI,VERYSTRONG,Trend Line is in the Extreme OverBought Region,
RSI,OVERSOLD,Trend Line is in the OverSold Region,
RSI,WEAK,Trend Line is in the OverSold Region,
RSI,OVERBOUGHT,Trend Line is in the OverBought Region,
RSI,STRONG,Trend Line is in the OverBought Region,
RSI,RANGE,Trend Line is in the Middle (Neutral) Region,
RSI,NEUTRAL,Trend Line is in the Middle (Neutral) Region,
WPR,ABOVE,Price is above WPR Line,
WPR,BELOW,Price is below WPR Line,
WPR,UP,WPR Trend Line is Up,
WPR,DOWN,WPR Trend Line is Down,
WPR,TOUCHED,Price Touches WPR Line,
WPR,SIDEWAY,WPR Trend Line is Sideway,
WPR,CROSS_UP,Price Crosses Up WPR Trend Line (Open of the Bar is below the Line and the High is above),
WPR,CROSS_DOWN,Price Crosses Down WPR Trend Line (Open of the Bar is above the Line and the Low is below),
WPR,ALERT,,
WPR,ANGLE,Angle of the WPR Trend Line (degrees),
WPR,PANGLE,Previous Angle of the WPR Trend Line (degrees),
WPR,PREVIOUS,Previous Value of the WPR Trend Line,
WPR,CURRENT,Current Value of the WPR Trend Line,
WPR,CHANGED,WPR Trend Line changes from UP to DOWN or DOWN to UP,
WPR,DISTANCE,Distance between the Price and the WPR Trend Line Value,
ATR,ABOVE,Price is above ATR Line,
ATR,BELOW,Price is below ATR Line,
ATR,UP,ATR Trend Line is Up,
ATR,DOWN,ATR Trend Line is Down,
ATR,TOUCHED,Price Touches ATR Line,
ATR,SIDEWAY,ATR Trend Line is Sideway,
ATR,CROSS_UP,Price Crosses Up ATR Trend Line (Open of the Bar is below the Line and the High is above),
ATR,CROSS_DOWN,Price Crosses Down ATR Trend Line (Open of the Bar is above the Line and the Low is below),
ATR,ALERT,,
ATR,ANGLE,Angle of the ATR Trend Line (degrees),
ATR,PANGLE,Previous Angle of the ATR Trend Line (degrees),
ATR,PREVIOUS,Previous Value of the ATR Trend Line,
ATR,CURRENT,Current Value of the ATR Trend Line,
ATR,CHANGED,ATR Trend Line changes from UP to DOWN or DOWN to UP,
ATR,DISTANCE,Distance between the Price and the ATR Trend Line Value,
MACD,ABOVE,Price is above MACD Line,
MACD,BELOW,Price is below MACD Line,
MACD,UP,MACD Trend Line is Up,
MACD,DOWN,MACD Trend Line is Down,
MACD,TOUCHED,Price Touches MACD Line,
MACD,SIDEWAY,MACD Trend Line is Sideway,
MACD,CROSS_UP,Price Crosses Up MACD Trend Line (Open of the Bar is below the Line and the High is above),
MACD,CROSS_DOWN,Price Crosses Down MACD Trend Line (Open of the Bar is above the Line and the Low is below),
MACD,PREVIOUS,Previous Value of the MACD Trend Line,
MACD,CURRENT,Current Value of the MACD Trend Line,
MACD,CHANGED,MACD Trend Line changes from UP to DOWN or DOWN to UP,
MACD,RCROSSED,MACD Trend Line crosses the associated Object if any,
STOCHASTIC,ABOVE,Price is above Stochastic Line,
STOCHASTIC,BELOW,Price is below Stochastic Line,
STOCHASTIC,UP,Stochastic Trend Line is Up,
STOCHASTIC,DOWN,Stochastic Trend Line is Down,
STOCHASTIC,TOUCHED,Price Touches Stochastic Line,
STOCHASTIC,SIDEWAY,Stochastic Trend Line is Sideway,
STOCHASTIC,CROSS_UP,Price Crosses Up Stochastic Trend Line (Open of the Bar is below the Line and the High is above),
STOCHASTIC,CROSS_DOWN,Price Crosses Down Stochastic Trend Line (Open of the Bar is above the Line and the Low is below),
STOCHASTIC,PREVIOUS,Previous Value of the Stochastic Trend Line,
STOCHASTIC,CURRENT,Current Value of the Stochastic Trend Line,
STOCHASTIC,CHANGED,Stochastic Trend Line changes from UP to DOWN or DOWN to UP,
STOCHASTIC,RCROSSED,Stochastic Trend Line crosses the associated Object if any,
ICHIMOKU,ABOVE,Price is above ICHIMOKU Cloud or Line,
ICHIMOKU,BELOW,Price is below ICHIMOKU Cloud or Line,
ICHIMOKU,UP,ICHIMOKU Trend Cloud or Line is Up,
ICHIMOKU,DOWN,ICHIMOKU Trend Cloud or Line is Down,
ICHIMOKU,TOUCHED,Price Touches ICHIMOKU Cloud or Line,
ICHIMOKU,SIDEWAY,ICHIMOKU Trend Cloud or Line is Sideway,
ICHIMOKU,CROSS_UP,Price Crosses Up ICHIMOKU Trend Cloud or Line (Open of the Bar is below the Cloud or Line and the High is above),
ICHIMOKU,CROSS_DOWN,Price Crosses Down ICHIMOKU Trend Cloud or Line (Open of the Bar is above the Cloud or Line and the Low is below),
ICHIMOKU,ALERT,,
ICHIMOKU,ANGLE,Angle of the ICHIMOKU Trend Cloud or Line (degrees),
ICHIMOKU,PANGLE,Previous Angle of the ICHIMOKU Trend Cloud or Line (degrees),
ICHIMOKU,PREVIOUS,Previous Value of the ICHIMOKU Trend Cloud or Line,
ICHIMOKU,CURRENT,Current Value of the ICHIMOKU Trend Cloud or Line,
ICHIMOKU,CHANGED,ICHIMOKU Trend Cloud or Line changes from UP to DOWN or DOWN to UP,
ICHIMOKU,DISTANCE,Distance between the Price and the ICHIMOKU Trend Cloud or Cloud or Line Value,
SAR,ABOVE,Current Price is above  SAR Value for the Bar which is BULL,
SAR,BELOW,Current Price is below  SAR Value for the Bar which is BEAR,
SAR,BULL,Current SAR Value below Current Bar which is BULL,
SAR,BEAR,Current SAR Value above  Current Bar which is BEAR,
SAR,PREVIOUS,Previous Current SAR Value of the Current Bar,
SAR,CURRENT,Current SAR Value of the Current Bar,
SAR,CHANGED,SAR changes value : From Bull to Bear or Bear To Bull,
SAR,NBBARS,Number of consecutive Bull Sar or Bear Sar,
SYSTEM,BUY, CUS Buy Signal,
SYSTEM,SELL, Sell Signal,
SYSTEM,EXIT_BUY, Exit Buy Signal,
SYSTEM,EXIT_SELL, Exit Sell Signal,
SYSTEM,CHANGED, Signal Changed,
SYSTEM,BULL, Bull Signal,
SYSTEM,BEAR, Bear Signal,
CUSTOM,ABOVE,Price is above Trend Line,
CUSTOM,BELOW,Price is below Trend Line,
CUSTOM,UP,Trend Trend Line is Up,
CUSTOM,DOWN,Trend Trend Line is Down,
CUSTOM,BULL,Trend Trend Line is Up,
CUSTOM,BEAR,Trend Trend Line is Down,
CUSTOM,TOUCHED,Price Touches Trend Line,
CUSTOM,SIDEWAY,Trend Trend Line is Sideway,
CUSTOM,CROSS_UP,Price Crosses Up Trend Trend Line (Open of the Bar is below the Line and the High is above),
CUSTOM,CROSS_DOWN,Price Crosses Down Trend Trend Line (Open of the Bar is above the Line and the Low is below),
CUSTOM,PREVIOUS,Previous Value of the Trend Trend Line,
CUSTOM,CURRENT,Current Value of the Trend Trend Line,
CUSTOM,CHANGED,Trend Trend Line changes from UP to DOWN or DOWN to UP,
CUSTOM,EXT_OVERSOLD,Trend Line is in the Extreme OverSold Region,
CUSTOM,VERYWEAK,Trend Line is in the Extreme OverSold Region,
CUSTOM,EXT_OVERBOUGHT,Trend Line is in the Extreme OverBought Region,
CUSTOM,VERYSTRONG,Trend Line is in the Extreme OverBought Region,
CUSTOM,OVERSOLD,Trend Line is in the OverSold Region,
CUSTOM,WEAK,Trend Line is in the OverSold Region,
CUSTOM,OVERBOUGHT,Trend Line is in the OverBought Region,
CUSTOM,STRONG,Trend Line is in the OverBought Region,
CUSTOM,RANGE,Trend Line is in the Middle (Neutral) Region,
CUSTOM,NEUTRAL,Trend Line is in the Middle (Neutral) Region,CUSTOM